Type;SKU;Name;Published;Is featured?;Visibility in catalog;Description;Tax status;Tax class;In stock?;Backorders allowed?;Sold individually?;Allow customer reviews?;Regular price;Categories;Tags;Images;Parent;Position;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global;Attribute 2 name;Attribute 2 value(s);Attribute 2 visible;Attribute 2 global
variable;A03924C;Run Star Motion CX Platform High Top;1;1;visible;ALL BLACK EVERYTHING Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03924c_e_107x1.jpg;;0;Màu sắc;Black/Black/Black;1;1;Kích cỡ;M 4.5 / W 6;1;1
variation;;Run Star Motion CX Platform High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03924C;1;Màu sắc;Black/Black/Black;;1;Kích cỡ;M 4.5 / W 6;;1
variable;A03925C;Run Star Motion CX Platform Workwear High Top;1;1;visible;COLOUR THE FUTURE Reflecting the energy of city streets, the Run Star Motion's playful and distorted lines are built for future movement. Reimagined from the inside out, the elevated stance and CX foam midsole help bring next-level comfort to every stride. The upper stays true to the original, juxtaposed by future-forward design details for bold self-expression. An exaggerated, wavy platform and sculptural traction lugs raise you up and help keep you steady with standout traction.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03925c_d_107x1.jpg;;0;Màu sắc;Beach Stone/Beach Stone/Beach Stone;1;1;Kích cỡ;M 3 / W 4.5 , M 3.5 / W 5 , M 5 / W 6.5 , M 5.5 / W 7 , M 6 / W 7.5;1;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;1;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 3 / W 4.5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;2;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 3.5 / W 5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;3;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 5 / W 6.5;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;4;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 5.5 / W 7;;1
variation;;Run Star Motion CX Platform Workwear High Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A03925C;5;Màu sắc;Beach Stone/Beach Stone/Beach Stone;;1;Kích cỡ;M 6 / W 7.5;;1
variable;166247C;CONS Fastbreak Pro Mid Top;1;1;visible;BORN IN BASKETBALL, REIMAGINED FOR SKATEBOARDING. Originally released in '83, the Converse Fastbreak was front and centre on the basketball court. At the request of the CONS team, we've reimagined the OG model – this time, for skateboarding. Leather and nylon hold up to all-day sessions, while CONS traction rubber helps with grip and board feel.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/1/6/166247c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_c_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/7675cebc3e2f09ee2a340c17d68ace33/1/6/166247c_d_107x1.jpg;;0;Màu sắc;White/Deep Emerald/Gum;1;1;Kích cỡ;M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 11 / W 12.5, M 11.5 / W 13;1;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;1;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 7.5 / W 9;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;2;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 8 / W 9.5;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;3;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 8.5 / W 10;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;4;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 11 / W 12.5;;1
variation;;CONS Fastbreak Pro Mid Top;1;0;visible;;taxable;parent;1;0;0;0;100;;;;166247C;5;Màu sắc;White/Deep Emerald/Gum;;1;Kích cỡ;M 11.5 / W 18;;1
variable;A01873C;Converse x Peanuts One Star Low Top;1;1;visible;CONVERSE x PEANUTS. Converse teams up with the iconic comic strip to bring some lighthearted positivity to the world. This limited-edition suede One Star design features custom details and playful graphics of Snoopy and his favorite wingman Woodstock. Get nostalgic with the Converse x Peanuts One Star.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_a_107x1_1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01873c_d_107x1.jpg;;0;Màu sắc;Black/Egret/Gum Honey;1;1;Kích cỡ;M 3 / W 4.5, M 3.5 / W 5, M 4 / W 5.5;1;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;1;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 3 / W 4.5;;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;2;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 3.5 / W 5;;1
variation;;Converse x Peanuts One Star Low Top;1;0;visible;;taxable;parent;1;0;0;0;150;;;;A01873C;3;Màu sắc;Black/Egret/Gum Honey;;1;Kích cỡ;M 4 / W 5.8;;1
variable;A02945C;One Star Pro Low Top;1;1;visible;GONE PRO In 1974, Converse launched a low-top, suede version of the Chuck Taylor All Star with a simple but vibrant style change—a lone star on the outside of the sneaker. Cut to the early '90s, the reissued One Star becomes a hit among skateboard culture. Today's One Star Pro has upgraded cushioning for impact protection, with rubber-backed suede for maximum durability and a classic look.;taxable;;1;0;0;1;;Chưa phân loại;;https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_a_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_c_107x1.jpg, https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02945c_d_107x1.jpg;;0;Màu sắc;Red Oak/White/Black;1;1;Kích cỡ;M 6.5 / W 8, M 9.5 / W 11;1;1
variation;;One Star Pro Low Top;1;0;visible;;taxable;parent;1;0;0;0;90;;;;A02945C;1;Màu sắc;Red Oak/White/Black;;1;Kích cỡ;M 6.5 / W 8;;1
variation;;One Star Pro Low Top;1;0;visible;;taxable;parent;1;0;0;0;90;;;;A02945C;2;Màu sắc;Red Oak/White/Black;;1;Kích cỡ;M 9.5 / W 11;;1
